English word,French word,Frequency
Project,projet,254
World,monde,925
"Library,",bibliothèque,232
their,leur,2108
Library,bibliothèque,232
often,souvent,140
Public,Publique,71
certain,certain,236
copyright,droits d'auteur,228
should,devrait,1716
VERSION,version,230
COMPLETE,Achevée,247
WORKS,travaux,250
COPYRIGHT,droits d'auteur,228
WORLD,monde,925
"LIBRARY,",bibliothèque,232
PROVIDED,à condition de,259
PROJECT,projet,254
COLLEGE,Université,227
PERMISSION.,autorisation,225
MACHINE,machine,224
READABLE,lisible,224
COPIES,copies,446
DISTRIBUTED,distribué,443
OTHERS,autres,520
PERSONAL,personnel,237
PROHIBITED,interdit,221
COMMERCIAL,commercial,442
INCLUDES,comprend,223
SERVICE,un service,485
DOWNLOAD,Télécharger,221
proud,fier,249
Complete,Achevée,247
Works,travaux,250
entertainment.,divertissement,38
NEITHER,ni,186
PUBLIC,Publique,71
UNDER,sous,678
LIBRARY,bibliothèque,232
Plain,plaine,242
Readable,lisible,224
Since,depuis,462
further,plus loin,194
below.,au dessous de,54
"NUMBER,",nombre,103
"LETTER,",lettre,384
would,aurait,2456
about,sur,415
Please,S'il vous plaît,449
"Midnight,",minuit,43
month.,mois,97
version,version,230
those,ceux,547
first,première,1175
please,S'il vous plaît,449
least,moins,101
hours,heures,141
"written,",écrit,35
hundred,cent,120
month:,mois,97
which,lequel,2322
number,nombre,103
paper,papier,122
these,celles-ci,1394
other,autre,2845
point,point,256
general,général,236
SMALL,petit,123
since,depuis,462
effect,effet,116
"reputation,",réputation,47
right,droite,878
MEMBERSHIP.,adhésion,221
subject,matière,172
copies,copies,446
Small,petit,123
"readable,",lisible,224
although,bien que,79
plain,plaine,242
request,demande,85
cannot,ne peux pas,762
"below,",au dessous de,54
party,fête,51
receive,recevoir,144
discover,découvrir,78
within,dans,494
money,argent,194
person,la personne,453
return,revenir,281
second,seconde,585
OTHER,autre,2845
EXPRESS,Express,70
PARTICULAR,particulier,72
PURPOSE.,objectif,261
above,au dessus,147
"Project,",projet,254
cause:,cause,549
MONEY,argent,194
public,Publique,71
works,travaux,250
freely,librement,55
distributed,distribué,443
machine,machine,224
readable,lisible,224
"money,",argent,194
think,pense,1368
Money,argent,194
WRITE,écrire,162
desire,le désir,310
might,pourrait,679
never,jamais,1023
tender,soumissionner,176
memory:,Mémoire,58
bright,brillant,82
Making,fabrication,85
where,où,1873
sweet,sucré,925
cruel:,cruel,100
fresh,Frais,124
"spring,",printemps,91
Within,dans,494
"content,",contenu,270
waste,déchets,75
"world,",monde,925
grave,la tombe,244
shall,doit,3865
"field,",champ,242
small,petit,123
worth,vaut,594
being,étant,664
beauty,beauté,233
Where,où,1873
treasure,Trésor,58
"shame,",la honte,366
praise.,louange,239
praise,louange,239
answer,répondre,480
child,enfant,392
Shall,doit,3865
"count,",compter,878
blood,du sang,947
glass,verre,83
"another,",un autre,455
Whose,dont,618
repair,réparation,52
mother.,mère,479
whose,dont,618
lovely,charmant,53
through,par,284
Despite,malgré,59
golden,d'or,92
single,Célibataire,64
image,image,74
"spend,",dépenser,80
nothing,rien,640
"abuse,",abuser de,76
given,donné,205
great,génial,1147
having,ayant,158
"alone,",seul,237
nature,la nature,412
leave?,laisser,748
Which,lequel,2322
lives,vies,213
Those,ceux,547
gentle,doux,1237
frame,Cadre,55
every,chaque,558
dwell,habiter,73
summer,été,100
winter,hiver,84
"there,",Là,3094
quite,assez,117
Beauty,beauté,233
where:,où,1873
walls,des murs,85
"glass,",verre,83
flowers,fleurs,47
though,bien que,1395
substance,substance,43
still,encore,588
sweet.,sucré,925
"place,",endroit,525
willing,prêt,94
breed,race,110
another,un autre,455
times,fois,302
could,pourrait,654
death,décès,931
"depart,",partir,98
living,vivant,123
light,lumière,611
burning,brûlant,52
under,sous,678
"sight,",vue,239
looks,regards,216
sacred,sacré,47
"majesty,",majesté,270
strong,fort,279
youth,jeunesse,318
mortal,mortel,147
"still,",encore,588
weary,se lasser,87
feeble,faible,43
unless,sauf si,155
Music,la musique,261
music,la musique,261
pleasure,plaisir,258
offend,offenser,149
chide,gronder,59
parts,les pièces,112
husband,mari,373
"child,",enfant,392
happy,heureux,243
"mother,",mère,479
prove,prouver,371
world,monde,925
widow,veuve,142
"behind,",derrière,120
private,privé,74
shape,forme,132
spend,dépenser,80
toward,vers,177
others,autres,520
shame,la honte,366
Grant,subvention,152
chief,chef,223
desire:,le désir,310
change,changement,246
"thought,",pensée,682
presence,présence,107
"prove,",prouver,371
"wisdom,",sagesse,105
"beauty,",beauté,233
Without,sans pour autant,368
"folly,",folie,80
"cease,",cesser,68
"store,",boutique,72
bounty,prime,42
meant,signifiait,83
count,compter,878
tells,raconte,45
brave,courageux,223
"night,",nuit,1216
behold,voir,199
barren,Dénudé,43
green,vert,122
Borne,supporté,96
beard:,barbe,124
question,question,177
themselves,se,159
hence.,Par conséquent,583
longer,plus long,112
"yours,",le tiens,609
coming,venir,172
"prepare,",préparer,82
again,encore,1364
after,après,543
issue,problème,129
house,maison,662
eternal,éternel,40
"father,",père,1157
stars,étoiles,71
"pluck,",cueillir,163
"quality,",qualité,58
fortune,fortune,485
brief,bref,114
"thunder,",tonnerre,90
heaven,paradis,853
knowledge,connaissance,99
constant,constant,72
truth,vérité,349
together,ensemble,281
thrive,prospérer,62
store,boutique,72
consider,considérer,89
thing,chose,1713
Holds,tient,93
little,peu,484
nought,néant,58
shows,montre,103
secret,secret,114
perceive,apercevoir,103
state,Etat,405
memory.,Mémoire,58
before,avant,840
tyrant,tyran,70
means,veux dire,264
stand,supporter,944
"hours,",heures,141
maiden,jeune fille,78
"flowers,",fleurs,47
painted,peint,53
counterfeit:,contrefaire,69
Neither,ni,186
outward,vers l'extérieur,57
keeps,garde,76
